Id,Title,Type,Release_year,Runtime,Genres
tm83280,King of the Zombies,MOVIE,1941,67,comedy
tm101000,Our Daily Bread,MOVIE,1934,80,romance
tm105223,Judge Priest,MOVIE,1934,80,comedy
tm91499,Angel and the Badman,MOVIE,1947,100,western
tm78387,That Uncertain Feeling,MOVIE,1941,84,romance
tm142928,The Emperor Jones,MOVIE,1933,75,drama
tm79455,The Mad Monster,MOVIE,1942,77,horror
tm113646,The North Star,MOVIE,1943,108,drama
tm115888,Revolt of the Zombies,MOVIE,1936,65,horror
tm64510,Tulsa,MOVIE,1949,90,drama
tm61710,Africa Screams,MOVIE,1949,140,comedy
tm4000,Bluebeard,MOVIE,1944,71,crime
tm17323,Captain Kidd,MOVIE,1945,90,drama
tm14979,Nazi Concentration Camps,MOVIE,1945,59,documentation
tm147,A Fool There Was,MOVIE,1915,67,drama
tm113731,Come and Get It,MOVIE,1936,99,romance
tm75528,Tarzan of the Apes,MOVIE,1918,60,action
tm59440,Riders of the Whistling Pines,MOVIE,1949,70,western
tm116645,The Woman of the Town,MOVIE,1943,90,western
tm82159,Bowery at Midnight,MOVIE,1942,61,horror
tm91623,Dressed to Kill,MOVIE,1946,72,crime
tm115641,Little Lord Fauntleroy,MOVIE,1936,102,drama
tm106886,The Last of the Mohicans,MOVIE,1920,73,drama
tm105675,Sex,MOVIE,1920,87,drama
tm10223,The Iron Mask,MOVIE,1929,103,action
tm127645,The Black Pirate,MOVIE,1926,94,drama
tm53734,Air Eagles,MOVIE,1931,72,romance
tm5761,Enchantment,MOVIE,1948,100,romance
tm78612,Spooks Run Wild,MOVIE,1941,65,horror
tm64369,"Swing High, Swing Low",MOVIE,1937,92,drama
tm89501,Scared to Death,MOVIE,1947,65,thriller
tm154,Alice in Wonderland,MOVIE,1915,59,fantasy
tm3491,The Animal Kingdom,MOVIE,1932,85,drama
tm7350,Glorifying the American Girl,MOVIE,1929,95,music
tm115793,Lady of Burlesque,MOVIE,1943,91,romance
tm134133,Tarzan the Fearless,MOVIE,1933,228,action
tm162999,The Gorilla,MOVIE,1939,68,thriller
tm116740,Why We Fight: The Nazis Strike,MOVIE,1943,42,war
tm107305,Gung Ho!,MOVIE,1943,88,drama
tm164439,Hop-a-long Cassidy,MOVIE,1935,60,western
tm4237,The Cheat,MOVIE,1915,59,drama
tm64700,Three Came Home,MOVIE,1950,106,drama
tm110834,Yellowstone,MOVIE,1936,63,drama
